<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100505,14:40,1160.7500000,1161.0000000,1158.5000000,1160.7500000,8425
20100505,14:45,1160.5000000,1162.7500000,1159.7500000,1162.5000000,10815
20100505,14:50,1162.5000000,1162.5000000,1160.2500000,1161.7500000,7170
20100505,14:55,1161.7500000,1163.5000000,1161.5000000,1163.2500000,10622
20100505,15:00,1163.2500000,1164.2500000,1162.2500000,1162.7500000,11185
20100505,15:05,1162.7500000,1163.5000000,1162.2500000,1163.2500000,54039
20100505,15:10,1163.0000000,1164.0000000,1163.0000000,1163.7500000,16992
20100505,15:15,1163.7500000,1164.0000000,1163.5000000,1163.7500000,23448
20100505,15:20,1164.0000000,1164.0000000,1164.0000000,1164.0000000,506
20100505,15:35,1163.7500000,1164.2500000,1163.7500000,1164.0000000,3468
20100505,15:40,1164.0000000,1164.0000000,1163.7500000,1163.7500000,359
20100505,15:45,1163.7500000,1164.0000000,1163.7500000,1164.0000000,634
20100505,15:50,1164.0000000,1164.0000000,1163.7500000,1164.0000000,345
20100505,15:55,1164.0000000,1164.0000000,1163.7500000,1163.7500000,305
20100505,16:00,1163.7500000,1164.0000000,1163.5000000,1163.7500000,581
20100505,16:05,1163.5000000,1163.7500000,1163.2500000,1163.5000000,408
20100505,16:10,1163.2500000,1163.5000000,1163.0000000,1163.2500000,124
20100505,16:15,1163.0000000,1164.0000000,1163.0000000,1164.0000000,610
20100505,16:20,1164.0000000,1164.0000000,1163.5000000,1163.5000000,386
20100505,16:25,1163.2500000,1163.7500000,1163.2500000,1163.5000000,455
20100505,16:30,1163.7500000,1164.7500000,1163.5000000,1164.5000000,1963
20100505,16:35,1164.5000000,1164.5000000,1164.5000000,1164.5000000,4
20100505,17:05,1164.7500000,1165.5000000,1164.5000000,1165.5000000,1628
20100505,17:10,1165.5000000,1165.5000000,1165.0000000,1165.0000000,378
20100505,17:15,1165.0000000,1165.5000000,1165.0000000,1165.5000000,437
20100505,17:20,1165.2500000,1165.7500000,1165.2500000,1165.5000000,494
20100505,17:25,1165.2500000,1165.7500000,1165.2500000,1165.7500000,381
20100505,17:30,1165.5000000,1165.7500000,1165.5000000,1165.5000000,287
20100505,17:35,1165.5000000,1166.0000000,1165.2500000,1165.7500000,229
20100505,17:40,1165.7500000,1166.0000000,1165.7500000,1166.0000000,173
20100505,17:45,1166.0000000,1166.0000000,1165.5000000,1165.7500000,152
20100505,17:50,1166.0000000,1166.0000000,1165.5000000,1165.7500000,136
20100505,17:55,1165.5000000,1165.7500000,1165.5000000,1165.7500000,46
20100505,18:00,1165.7500000,1166.2500000,1165.7500000,1166.2500000,625
20100505,18:05,1166.2500000,1166.2500000,1165.7500000,1166.0000000,541
20100505,18:10,1166.0000000,1166.0000000,1165.0000000,1165.2500000,455
20100505,18:15,1165.2500000,1165.2500000,1165.0000000,1165.0000000,50
20100505,18:20,1165.0000000,1167.0000000,1165.0000000,1166.7500000,1349
20100505,18:25,1166.7500000,1166.7500000,1166.2500000,1166.5000000,401
20100505,18:30,1166.2500000,1166.5000000,1166.2500000,1166.5000000,41
20100505,18:35,1166.5000000,1166.5000000,1166.0000000,1166.5000000,404
20100505,18:40,1166.2500000,1166.5000000,1166.2500000,1166.2500000,46
20100505,18:45,1166.2500000,1166.5000000,1166.2500000,1166.2500000,414
20100505,18:50,1166.0000000,1166.2500000,1165.5000000,1165.7500000,848
20100505,18:55,1165.5000000,1165.7500000,1165.2500000,1165.5000000,302
20100505,19:00,1165.7500000,1166.5000000,1165.5000000,1166.5000000,514
