<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
05/05/10,03:12:00,1169.0000000,1169.2500000,1169.0000000,1169.0000000,1247
05/05/10,03:13:00,1169.0000000,1169.0000000,1168.2500000,1168.7500000,568
05/05/10,03:14:00,1168.5000000,1168.7500000,1168.5000000,1168.5000000,294
05/05/10,03:15:00,1168.5000000,1169.5000000,1168.5000000,1169.2500000,1353
05/05/10,03:16:00,1169.2500000,1169.7500000,1169.2500000,1169.5000000,968
05/05/10,03:17:00,1169.5000000,1169.7500000,1169.2500000,1169.2500000,272
05/05/10,03:18:00,1169.5000000,1170.7500000,1169.5000000,1170.5000000,2698
05/05/10,03:19:00,1170.2500000,1170.7500000,1170.2500000,1170.5000000,315
05/05/10,03:20:00,1170.7500000,1171.0000000,1170.5000000,1171.0000000,871
05/05/10,03:21:00,1171.0000000,1171.2500000,1171.0000000,1171.2500000,788
05/05/10,03:22:00,1171.2500000,1171.2500000,1170.7500000,1171.0000000,889
05/05/10,03:23:00,1171.0000000,1171.7500000,1170.7500000,1171.2500000,740
05/05/10,03:24:00,1171.2500000,1171.5000000,1170.7500000,1170.7500000,1441
05/05/10,03:25:00,1170.5000000,1170.5000000,1170.0000000,1170.0000000,663
05/05/10,03:26:00,1169.7500000,1170.0000000,1169.0000000,1169.0000000,691
05/05/10,03:27:00,1169.0000000,1169.5000000,1169.0000000,1169.2500000,442
05/05/10,03:28:00,1169.2500000,1169.7500000,1169.0000000,1169.7500000,610
05/05/10,03:29:00,1169.5000000,1169.7500000,1169.0000000,1169.0000000,714
05/05/10,03:30:00,1169.0000000,1169.2500000,1168.7500000,1169.0000000,390
05/05/10,03:31:00,1169.0000000,1169.7500000,1168.7500000,1169.2500000,1359
05/05/10,03:32:00,1169.5000000,1169.5000000,1168.7500000,1169.0000000,460
05/05/10,03:33:00,1168.7500000,1169.2500000,1168.2500000,1169.0000000,1168
05/05/10,03:34:00,1169.0000000,1170.0000000,1169.0000000,1170.0000000,547
05/05/10,03:35:00,1170.0000000,1170.5000000,1170.0000000,1170.5000000,857
05/05/10,03:36:00,1170.5000000,1170.7500000,1170.5000000,1170.7500000,345
05/05/10,03:37:00,1170.7500000,1172.0000000,1170.7500000,1171.5000000,1619
05/05/10,03:38:00,1171.7500000,1171.7500000,1171.0000000,1171.2500000,671
